"ADM0_PC","ADM0_ES","ADM1_PC","ADM1_ES","ADM2_PC","ADM2_ES","trimester","avg_d_mbps","avg_u_mbps","avg_d_mbps_winsorized","avg_u_mbps_winsorized","tests","college","clinic","university","school","hospital","avg_d_mbps_change","avg_u_mbps_change"
"CO","Colombia","CO68","Santander","CO68266","Enciso",1,12.581,4.8335,12.581,4.8335,2,0,0,0,2,1,NA,NA
"CO","Colombia","CO68","Santander","CO68266","Enciso",4,3.39283333333333,3.18466666666667,3.39283333333333,3.18466666666667,51,0,0,0,2,1,-0.730320854198129,-0.34112616806317
"CO","Colombia","CO68","Santander","CO68271","Florian",1,7.553,7.9655,7.553,7.9655,76,0,0,0,24,1,NA,NA
"CO","Colombia","CO68","Santander","CO68271","Florian",4,6.547,3.66985714285714,6.547,3.66985714285714,109,0,0,0,24,1,-0.133192109095723,-0.539281006483316
"CO","Colombia","CO68","Santander","CO68276","Floridablanca",1,25.4251459854015,15.6041094890511,24.3024808759124,14.5501321167883,21737,1,5,5,22,6,NA,NA
"CO","Colombia","CO68","Santander","CO68276","Floridablanca",4,25.9717357142857,16.8890857142857,24.9754254285714,15.9371451428571,29021,1,5,5,22,6,0.0276903644568243,0.0953264901607629
"CO","Colombia","CO68","Santander","CO68296","Galan",1,7.832,5.3205,7.832,5.3205,70,0,0,0,3,1,NA,NA
"CO","Colombia","CO68","Santander","CO68296","Galan",4,4.2188,2.6754,4.2188,2.6754,261,0,0,0,3,1,-0.461338100102145,-0.497152523259092
"CO","Colombia","CO68","Santander","CO68298","Gambita",1,16.384,5.954,16.384,5.954,2,0,0,0,3,1,NA,NA
"CO","Colombia","CO68","Santander","CO68298","Gambita",4,11.6968,6.974,11.6968,6.974,92,0,0,0,3,1,-0.286083984375,0.171313402754451
"CO","Colombia","CO68","Santander","CO68307","Giron",1,13.5943358208955,6.08562686567164,13.3508382089552,6.01823298507463,7548,1,0,0,2,0,NA,NA
"CO","Colombia","CO68","Santander","CO68307","Giron",4,12.2507375,5.7264125,12.2507375,5.709007625,11784,1,0,0,2,0,-0.0823993738623332,-0.0513814205667202
"CO","Colombia","CO68","Santander","CO68318","Guaca",1,4.794125,4.4145,4.794125,4.4145,29,0,0,0,31,2,NA,NA
"CO","Colombia","CO68","Santander","CO68318","Guaca",4,9.4835,9.953,9.4835,9.953,17,0,0,0,31,2,0.978150340260214,1.25461547174085
"CO","Colombia","CO68","Santander","CO68320","Guadalupe",1,4.28933333333333,3.17766666666667,4.28933333333333,3.17766666666667,37,0,0,0,21,1,NA,NA
"CO","Colombia","CO68","Santander","CO68320","Guadalupe",4,29.0436666666667,17.0473333333333,21.59944,17.0473333333333,19,0,0,0,21,1,4.0356170345042,4.36473303262352
"CO","Colombia","CO68","Santander","CO68322","Guapota",1,7.1725,2.94475,7.1725,2.94475,8,0,0,0,2,0,NA,NA
"CO","Colombia","CO68","Santander","CO68322","Guapota",4,4.12428571428571,6.07614285714286,4.12428571428571,6.07614285714286,72,0,0,0,2,0,-0.424986306826669,1.06338156282973
"CO","Colombia","CO68","Santander","CO68324","Guavata",1,5.1462,2.1188,5.1462,2.1188,51,1,0,0,3,1,NA,NA
"CO","Colombia","CO68","Santander","CO68324","Guavata",4,4.6045,1.623,4.6045,1.623,20,1,0,0,3,1,-0.105262135167697,-0.234000377572211
"CO","Colombia","CO68","Santander","CO68327","Guepsa",1,9.6745,27.7675,9.6745,25.98411,9,0,0,0,5,1,NA,NA
